wave,n
1.5322,2.17303541
1.5331,2.17301306
1.534,2.17299071
1.5349,2.17296838
1.5358,2.17294607
1.5367,2.17292376
1.5376,2.17290147
1.5385,2.17287919
1.5395,2.17285692
1.5404,2.17283467
1.5413,2.17281243
1.5422,2.1727902
1.5431,2.17276799
1.544,2.17274579
1.545,2.1727236
1.5459,2.17270142
1.5468,2.17267926
1.5477,2.17265711
1.5487,2.17263498
1.5496,2.17261285
1.55,2.17260292
1.5505,2.17259074
1.5514,2.17256864
1.5524,2.17254656
1.5533,2.17252448
1.5542,2.17250243
1.5552,2.17248038
1.5561,2.17245835
1.557,2.17243632
1.558,2.17241432
1.5589,2.17239232
1.5598,2.17237034
1.5608,2.17234837
1.5617,2.17232642
1.5627,2.17230447
1.5636,2.17228254
1.5645,2.17226062
1.5655,2.17223872
1.5664,2.17221683
1.5674,2.17219495
1.5683,2.17217308
1.5693,2.17215123
1.5702,2.17212939
1.5712,2.17210755
1.5721,2.17208574
1.5731,2.17206394
1.574,2.17204214
1.575,2.17202037
1.576,2.1719986
1.5769,2.17197685
1.5779,2.17195511
1.5788,2.17193339
1.5798,2.17191167
1.5808,2.17188997
1.5817,2.17186828
1.5827,2.17184661
1.5837,2.17182494
1.5846,2.1718033
1.5856,2.17178166
1.5866,2.17176003
1.5875,2.17173842
1.5885,2.17171682
1.5895,2.17169523
1.5905,2.17167366
1.5914,2.1716521
1.5924,2.17163055
1.5934,2.17160901
1.5944,2.17158749
1.5954,2.17156597
1.5963,2.17154447
1.5973,2.17152299
1.5983,2.17150152
1.5993,2.17148005
1.6003,2.17145861
1.6013,2.17143717
1.6023,2.17141575
1.6032,2.17139434
1.6042,2.17137294
1.6052,2.17135155
1.6062,2.17133018
1.6072,2.17130882
1.6082,2.17128747
1.6092,2.17126614
1.6102,2.17124481
1.6112,2.1712235
1.6122,2.1712022
1.6132,2.17118091
1.6142,2.17115964
1.6152,2.17113838
1.6162,2.17111714
1.6173,2.1710959
1.6183,2.17107468
1.6193,2.17105346
1.6203,2.17103226
1.6213,2.17101107
1.6223,2.1709899
1.6233,2.17096874
1.6243,2.1709476
1.6254,2.17092646
1.6264,2.17090533
1.6274,2.17088422
1.6284,2.17086312
1.6294,2.17084204
1.6305,2.17082096
1.6315,2.1707999
1.6325,2.17077885
1.6336,2.17075781
1.6346,2.17073679
1.6356,2.17071577
1.6367,2.17069478
1.6377,2.17067378
1.6387,2.17065281
1.6398,2.17063184
1.6408,2.17061089
1.6418,2.17058995
1.6429,2.17056903
1.6439,2.17054811
1.645,2.17052721
1.646,2.17050632
1.647,2.17048544
1.6481,2.17046457
1.6491,2.17044372
1.6502,2.17042289
1.6512,2.17040206
1.6523,2.17038124
1.6533,2.17036078
1.6534,2.17036044
1.6544,2.17033964
1.6555,2.17031886
1.6565,2.17029809
1.6576,2.17027734
1.6586,2.17025659
1.6597,2.17023586
1.6608,2.17021514
1.6618,2.17019444
1.6629,2.17017374
1.664,2.17015306
1.665,2.17013239
1.6661,2.17011173
1.6672,2.17009108
1.6682,2.17007045
1.6693,2.17004982
1.6704,2.17002922
1.6715,2.17000862
1.6726,2.16998804
1.6736,2.16996746
1.6747,2.1699469
1.6758,2.16992635
1.6769,2.16990581
1.678,2.16988529
1.6791,2.16986477
1.6801,2.16984427
1.6812,2.16982378
1.6823,2.1698033
1.6834,2.16978284
1.6845,2.16976238
1.6856,2.16974194
1.6867,2.16972151
1.6878,2.16970109
1.6889,2.16968069
1.69,2.16966029
1.6911,2.16963991
1.6922,2.16961954
1.6933,2.16959918
1.6944,2.16957884
1.6955,2.1695585
1.6966,2.16953819
1.6977,2.16951787
1.6989,2.16949757
1.7,2.16947729
1.7011,2.16945701
1.7022,2.16943675
1.7033,2.1694165
1.7044,2.16939626
1.7056,2.16937603
1.7067,2.16935582
1.7078,2.16933561
1.7089,2.16931542
1.7101,2.16929524
1.7112,2.16927507
1.7123,2.16925492
1.7135,2.16923477
1.7146,2.16921464
1.7157,2.16919452
1.7169,2.16917441
1.718,2.16915431
1.7191,2.16913423
1.7203,2.16911415
1.7214,2.16909409
1.7226,2.16907404
1.7237,2.16905401
1.7249,2.16903397
1.726,2.16901396
1.7272,2.16899395
1.7283,2.16897396
1.7295,2.16895399
1.7306,2.16893401
1.7318,2.16891406
1.7329,2.16889411
1.7341,2.16887418
1.7352,2.16885426
1.7364,2.16883434
1.7376,2.16881445
1.7387,2.16879456
1.7399,2.16877469
1.7411,2.16875482
1.7422,2.16873497
1.7434,2.16871512
1.7446,2.16869529
1.7458,2.16867548
1.7469,2.16865567
1.7481,2.16863588
1.7493,2.16861609
1.7505,2.16859632
1.7517,2.16857656
1.7528,2.16855681
1.754,2.16853707
1.7552,2.16851735
1.7564,2.16849764
1.7576,2.16847793
1.7588,2.16845824
1.76,2.16843856
1.7612,2.16841889
1.7624,2.16839924
1.7636,2.16837959
1.7648,2.16835996
1.766,2.16834034
1.7672,2.16832072
1.7684,2.16830112
1.7696,2.16828154
1.7708,2.16826196
1.7714,2.16825183
1.772,2.16824239
1.7732,2.16822284
1.7744,2.16820329
1.7757,2.16818376
1.7769,2.16816425
1.7781,2.16814473
1.7793,2.16812524
1.7805,2.16810575
1.7818,2.16808627
1.783,2.16806681
1.7842,2.16804736
1.7854,2.16802792
1.7867,2.16800849
1.7879,2.16798907
1.7891,2.16796966
1.7904,2.16795026
1.7916,2.16793088
1.7928,2.1679115
1.7941,2.16789214
1.7953,2.16787279
1.7966,2.16785345
1.7978,2.16783412
1.7991,2.1678148
1.8003,2.1677955
1.8016,2.1677762
1.8028,2.16775691
1.8041,2.16773764
1.8053,2.16771838
1.8066,2.16769913
1.8078,2.16767989
1.8091,2.16766066
1.8104,2.16764144
1.8116,2.16762224
1.8129,2.16760304
1.8142,2.16758385
1.8154,2.16756468
1.8167,2.16754552
1.818,2.16752637
1.8193,2.16750723
1.8205,2.1674881
1.8218,2.16746898
1.8231,2.16744987
1.8244,2.16743077
1.8257,2.16741169
1.827,2.16739261
1.8282,2.16737355
1.8295,2.16735449
1.8308,2.16733546
1.8321,2.16731642
1.8334,2.1672974
1.8347,2.1672784
1.836,2.16725939
1.8373,2.16724041
1.8386,2.16722143
1.8399,2.16720246
1.8412,2.16718351
1.8425,2.16716457
1.8439,2.16714563
1.8452,2.16712671
1.8465,2.1671078
1.8478,2.1670889
1.8491,2.16707001
1.8504,2.16705113
1.8518,2.16703226
1.8531,2.1670134
1.8544,2.16699455
1.8557,2.16697572
1.8571,2.16695689
1.8584,2.16693807
1.8597,2.16691927
1.8611,2.16690048
1.8624,2.16688169
1.8637,2.16686292
1.8651,2.16684416
1.8664,2.16682541
1.8678,2.16680667
1.8691,2.16678794
1.8705,2.16676922
1.8718,2.16675051
1.8732,2.16673182
1.8745,2.16671313
1.8759,2.16669445
1.8772,2.16667579
1.8786,2.16665713
1.88,2.16663848
1.8813,2.16661985
1.8827,2.16660122
1.8841,2.16658261
1.8854,2.166564
1.8868,2.16654541
1.8882,2.16652683
1.8895,2.16650826
1.8909,2.1664897
1.8923,2.16647115
1.8937,2.16645261
1.8951,2.16643408
1.8965,2.16641556
1.8978,2.16639705
1.8992,2.16637855
1.9006,2.16636006
1.902,2.16634158
1.9034,2.16632312
1.9048,2.16630466
1.9062,2.16628621
1.9076,2.16626778
1.9077,2.16626681
1.909,2.16624935
1.9104,2.16623093
1.9118,2.16621253
1.9133,2.16619413
1.9147,2.16617574
1.9161,2.16615737
1.9175,2.166139
1.9189,2.16612065
1.9203,2.16610231
1.9218,2.16608397
1.9232,2.16606565
1.9246,2.16604734
1.926,2.16602903
1.9275,2.16601074
1.9289,2.16599246
1.9303,2.16597418
1.9318,2.16595592
1.9332,2.16593767
1.9347,2.16591942
1.9361,2.16590119
1.9376,2.16588296
1.939,2.16586475
1.9405,2.16584655
1.9419,2.16582836
1.9434,2.16581017
1.9448,2.165792
1.9463,2.16577383
1.9477,2.16575568
1.9492,2.16573754
1.9507,2.16571941
1.9521,2.16570128
1.9536,2.16568317
1.9551,2.16566507
1.9566,2.16564697
1.958,2.16562889
1.9595,2.16561081
1.961,2.16559275
1.9625,2.1655747
1.964,2.16555665
1.9655,2.16553862
1.967,2.16552059
1.9685,2.16550258
1.97,2.16548458
1.9714,2.16546658
1.9729,2.1654486
1.9745,2.16543062
1.976,2.16541265
1.9775,2.1653947
1.979,2.16537675
1.9805,2.16535882
1.982,2.16534089
1.9835,2.16532297
1.985,2.16530506
1.9866,2.16528716
1.9881,2.16526928
1.9896,2.16525139
1.9911,2.16523353
1.9927,2.16521567
1.9942,2.16519781
